index	chromosome	region_start	region_end	peak_start	peak_end	enlarged_peak_start	enlarged_peak_end	n_genes_in_region	genes_in_region	n_genes_in_peak	genes_in_peak	n_genes_on_chip	genes_on_chip	top 3	amp	cytoband	q_value
11	7	84227829	109071008	92571059	92610094	91842992	93851017	20	GNG11,MIR489,MIR653,RN7SL7P,GATAD1,CALCR,KRIT1,CDK6,GNGT1,PEX1,TFPI2,BET1,ANKIB1,SAMD9,CCDC132,RBM48,SAMD9L,HEPACAM2,FAM133B,MIR4652,	1	RN7SL7P,	[Not Available]	[Not Available]	[Not Available]	1	7q21.2	6.0529e-14
12	7	53180537	57923947	55225327	55354770	54944081	55390512	1	EGFR,	1	EGFR,	[Not Available]	[Not Available]	[Not Available]	1	7p11.2	6.1735e-13
13	8	98925477	145232496	128714097	128723749	128702094	128724426	0	[MYC]	0	[MYC]	[Not Available]	[Not Available]	[Not Available]	1	8q24.21	2.9383e-31
14	8	9793601	12566650	11491539	11649069	11355821	12562455	20	FAM86B2,FAM66A,RNA5SP254,FAM66D,RNA5SP253,DEFB130|ENSG00000233050.1,DEFB134,C8orf49,LINC00208,BLK,CTSB,FDFT1,GATA4,FAM86B1,DEFB130|ENSG00000232948.1,NEIL2,USP17L2,DEFB135,DEFB136,ZNF705D,	20	FAM86B2,FAM66A,RNA5SP254,FAM66D,RNA5SP253,DEFB130|ENSG00000233050.1,DEFB134,C8orf49,LINC00208,BLK,CTSB,FDFT1,GATA4,FAM86B1,DEFB130|ENSG00000232948.1,NEIL2,USP17L2,DEFB135,DEFB136,ZNF705D,	[Not Available]	[Not Available]	[Not Available]	1	8p23.1	2.785e-07
15	8	40836998	47464065	42240244	42307561	41722920	42517443	12	snoU13|ENSG00000238714.1,SNORD112|ENSG00000238966.1,ANK1,IKBKB,PLAT,POLB,SLC20A2,VDAC3,KAT6A,AP3M2,DKK4,SMIM19,	2	SLC20A2,VDAC3,	[Not Available]	[Not Available]	[Not Available]	1	8p11.21	1.5487e-05
16	9	35340565	35856434	35596344	35639629	35533886	35696625	12	RN7SL22P,RMRP,MIR4667,CA9,CD72,TESK1,TPM2,RUSC2,SIT1,ARHGEF39,CCDC107,FAM166B,	3	MIR4667,CD72,TESK1,	[Not Available]	[Not Available]	[Not Available]	1	9p13.3	0.0054032
17	9	140151409	140290821	140151409	140151409	140141301	140219855	14	RNF224,TUBB4B,NELFB,NDOR1,TOR4A,EXD3,TMEM203,SLC34A3,TPRN,C9orf169,FAM166A,C9orf173,NRARP,RNF208,	6	NELFB,TOR4A,EXD3,FAM166A,C9orf173,NRARP,	[Not Available]	[Not Available]	[Not Available]	1	9q34.3	0.24147
18	11	66100660	77313680	69651455	69669716	69650887	69670717	0	[FGF3]	0	[FGF3]	[Not Available]	[Not Available]	[Not Available]	1	11q13.3	1.2639e-101
19	11	34223378	35548231	35244574	35259407	456120	134132624	1484	snoU13|ENSG00000238693.1,RNU6ATAC12P,RN7SL167P,LINC00167,KCNJ5,RN7SKP279,RN7SKP121,MIR3167,snoU13|ENSG00000238855.1,RN7SL351P,KRT18P59,SLC37A2,RNA5SP352,TBRG1,OR10D3,U8|ENSG00000200496.1,SNORD14C,SNORD14D,SNORD14E,snoU13|ENSG00000239079.1,RNU4ATAC5P,RNU4ATAC10P,SC5D,TBCEL,OAF,THY1,MFRP,ACA64|ENSG00000252119.1,HINFP,C2CD2L,MIR3656,RPS25,RN7SL529P,RN7SL688P,BCL9L,CXCR5,DDX6,TTC36,RN7SL86P,CD3G,MPZL3,TMPRSS4,SCARNA11|ENSG00000252992.1,PCSK7,RNY4P6,ZNF259,snoU13|ENSG00000238625.1,LINC00900,snoU13|ENSG00000239153.1,ACA59|ENSG00000252870.1,snoU13|ENSG00000238724.1,ATF4P4,snosnR66,C11orf34,SDHD,RNA5SP351,HSPB2,ALG9,ALG9,RN7SKP273,SIK2,RNA5SP350,SNORD39|ENSG00000264997.1,RNA5SP349,RNA5SP348,MMP12,WTAPP1,snoU13|ENSG00000239154.1,snoU13|ENSG00000252679.1,MIR3920,snoU13|ENSG00000238388.1,RN7SKP115,RN7SL222P,RN7SKP53,RNA5SP347,RNA5SP346,MAML2,RNA5SP345,SRSF8,SRSF8,MIR548L,VSTM5,RN7SL195P,snoU13|ENSG00000238437.1,MED17,SNORA40|ENSG00000210825.1,SNORA18|ENSG00000207145.1,SNORD5|ENSG00000239195.1,SNORA8|ENSG00000207304.1,SNORA1|ENSG00000206834.1,SNORD6,SNORA32|ENSG00000206799.1,SNORA25|ENSG00000207112.1,SCARNA9,RN7SL223P,SLC36A4,snoU13|ENSG00000239086.1,DISC1FP1,CHORDC1,SNORD56|ENSG00000207299.1,TRIM49D1,TRIM64B,TRIM77,FOLH1B,GRM5,TMEM135,RN7SL225P,snoU13|ENSG00000238666.1,PCF11,SNORA70E,snoU13|ENSG00000238995.1,SNORD112|ENSG00000252592.1,DKFZP434E1119,ACER3,GUCY2EP,RNA5SP344,UVRAG,RN7SL786P,MOGAT2,SNORD15B,SNORD15A,MIR326,NEU3,RN7SL239P,MIR4696,SNORD43|ENSG00000212277.1,RN7SKP297,SNORA7|ENSG00000206913.1,RNA5SP343,UCP2,RN7SKP243,MRPL48,MIR139,snoU13|ENSG00000238768.1,RNA5SP342,ZNF705E,ENPP7P8,UNC93B6,MIR3664,MIR548K,FGF3,MIR3164,TPCN2,MIR4691,FAM86C2P,DOC2GP,C11orf72,RN7SL59P,PTPRCAP,RN7SKP239,POLD4,snoU13|ENSG00000238892.1,SYT12,U3|ENSG00000252709.1,RN7SL12P,RBM14,ZDHHC24,SNORA43|ENSG00000201733.1,snoU13|ENSG00000238763.1,snoU13|ENSG00000238752.1,GAL3ST3,AP5B1,RN7SL309P,MIR4489,MIR4690,MALAT1,POLA2,SLC22A20,FAU,RN7SL114P,MIR1237,TEX40,VEGFB,OTUB1,RN7SL596P,C11orf95,SLC22A10,RN7SL259P,SNHG1,RN7SL119P,TMEM223,C11orf83,SNORA57|ENSG00000206597.1,METTL12,MIR3654,MIR1908,MIR611,RPLP0P2,SYT7,RN7SL23P,SDHAF2,PGA4,PGA3,MS4A18,MS4A4E,MS4A2,OOSP1,RN7SKP192,MIR3162,RN7SL435P,RN7SL42P,GLYATL1P2,BTBD18,C11orf31,RTN4RL2,RN7SKP259,RNA5SP341,PRG2,P2RX3,snoU13|ENSG00000238692.1,OR5G5P,TRIM51HP,TRIM49B,OR4C5,MIR3161,RNA5SP340,snoU13|ENSG00000252447.1,KBTBD4,PTPMT1,RN7SL652P,RN7SL772P,SNORD67|ENSG00000212135.1,SNORD67|ENSG00000252427.1,MIR5582,HARBI1,MIR4688,PHF21A,CHST1,CD82,C11orf96,RN7SKP287,HNRNPKP3,SNORA31|ENSG00000251838.1,TRAF6,COMMD9,MIR3973,TRIM44,MIR1343,EHF,CD59,C11orf91,EIF3M,U3|ENSG00000212551.1,DNAJC24,ARL14EP,RN7SL240P,RN7SKP158,LINC00678,RNA5SP339,SVIP,RNA5SP338,RNA5SP337,RNA5SP336,SLC6A5,SNORA1|ENSG00000207407.1,MIR4486,RNA5SP335,RNA5SP334,RNA5SP333,SAA3P,TPH1,SNORD14B,SNORD14A,OR7E14P,RN7SKP90,C11orf58,RN7SL188P,PSMA1,RNA5SP332,SPON1,RNA5SP331,RN7SKP151,LINC00958,SCARNA16|ENSG00000252329.1,PARVA,SNORD97,LYVE1,RNU6ATAC33P,ADM,RN7SKP50,RN7SL56P,snoU13|ENSG00000238387.1,SNORA23,MIR5691,RNA5SP330,SNORA45,SNORA3|ENSG00000200983.1,SCARNA20|ENSG00000252778.1,OR10AB1P,GVINP1,TAF10,RRP8,TIMM10B,RNA5SP329,TRIM34,OR51J1,OR51B5,HBG1,HBBP1,OR52A4,OR51H1P,SNORA62|ENSG00000201980.1,OR51C1P,SNORA7|ENSG00000206976.1,snoU13|ENSG00000238686.1,TRPC2,TSSC2,SNORA54,SLC22A18AS,KCNQ1OT1,RPL26P30,C11orf21,MIR483,H19,C11orf89,FAM99B,MOB2,MUC5AC,SNORA52,RPLP2,TMEM80,SCT,MIR210HG,RN7SL838P,ODF3,ACAT1,ACP2,ACRV1,ACTN3,ADRBK1,AP2A2,APLNR,ALDH3B1,ALDH3B2,AMPD3,APBB1,BIRC2,BIRC3,APLP2,APOA1,APOA4,APOC3,ARCN1,RHOG,ARHGAP1,PHOX2A,ARL2,ARNTL,ARRB1,ART1,ASCL2,ATM,FXYD2,BAD,BBS1,CCND1,BDNF,SERPING1,CAPN5,VPS51,MRPL49,ZNHIT2,MPPED2,MYRF,TMEM258,DAGLA,CALCA,CALCB,CAPN1,CARS,CASP1,CASP4,CASP5,CAT,CBL,SERPINH1,CCKBR,CD3D,CD3E,CD5,CD6,MS4A1,MS4A3,CD44,CD81,CD151,CDKN1C,CFL1,CTSC,CHEK1,CHKA,CHRM1,CHRM4,TPP1,CLNS1A,CNGA4,CNTF,COPB1,COX8A,CPT1A,CRY2,CRYAB,CST6,CSTF3,CTNND1,CTSD,CTSW,DDB1,DDB2,DDX10,DHCR7,DLAT,DLG2,DPAGT1,DRD2,DRD4,DUSP8,EEF1G,EIF4G2,ELF5,MARK2,CTTN,ESRRA,ETS1,EXT2,F2,FANCF,FDX1,FEN1,FGF4,FKBP2,FLI1,FOLH1,FOLR1,FOLR2,FOLR3,FSHB,FTH1,FUT4,SLC37A4,LRRC32,GAS2,GIF,GNG3,GRIA4,GRIK4,GSTP1,GTF2H1,GUCY1A2,H2AFX,HBB,HBD,HBE1,HBG2,HMBS,SLC29A2,HPX,HRAS,HSPA8,DNAJC4,HTR3A,IGF2,IGHMBP2,IL10RA,IL18,ILK,INCENP,INS,INPPL1,IRF7,STT3A,KCNA4,KCNC1,KCNJ1,KCNJ11,KCNQ1,LDHA,LDHC,FADS1,FADS3,LMO1,LMO2,VWA5A,LRP4,LRP5,LSP1|ENSG00000130592.9,LTBP3,CAPRIN1,MAP6,MCAM,MDK,MEN1,SCGB2A1,SCGB2A2,MAP3K11,KMT2A,MMP1,MMP3,MMP7,MMP8,MMP10,MMP13,MRE11A,MTNR1B,MUC2,MUC6,MYBPC3,MYO7A,MYOD1,NAP1L4,NCAM1,NDUFC2,NDUFS3,NDUFV1,NDUFS8,NELL1,NFRKB,NNMT,NPAT,NRGN,NUCB2,NUMA1,NUP98,OMP,OPCML,SLC22A18,OSBP,OVOL1,P2RY2,P2RY6,PAFAH1B2,PAK1,PAX6,PC,PDE2A,PDE3B,PGA5,PGR,PIK3C2A,PLCB3,POLR2G,POLR2L,POU2AF1,PPP1CA,PPP2R1B,PPP2R5B,PRCP,PRKRIR,PSMA1,PSMC3,PSMD13,PTH,PTPRJ,PTS,PVRL1,PYGM,RAB3IL1,RAB6A,MAP4K2,RAD9A,RAG1,RAG2,RAPSN,RARRES3,RCN1,RDX,RELA,DPF2,RNH1,ROM1,MRPL23,RPL27A,RPS3,RPS6KB2,RPS13,RRM1,SAA1,SAA2,SAA4,SCN2B,SCN4B,SDHD,ST3GAL4,SIPA1,SLC1A2,SLC3A2,SLN,SMPD1,SORL1,SPI1,SPTBN2,SRPR,TRIM21,SSRP1,ST5,ST14,STIM1,STX3,STX5,ABCC8,TAGLN,TALDO1,TCN1,TEAD1,TECTA,TH,THRSP,TSPAN4,TM7SF2,TNNI2,TNNT3,TRPC6,TSG101,PHLDA2,TUB,TYR,UCP3,SCGB1A1,UPK2,BEST1,WEE1,WNT11,WT1,SF1,ZFPL1,ZNF143,ZBTB16,ZNF195,ZNF202,ZNF214,ZNF215,RASSF7,CSRP3,PDHX,FOSL1,CUL5,PICALM,FZD4,BBOX1,PPFIBP2,PPFIA1,SLC43A1,IFITM1,DGKZ,BARX2,API5,MADD,OR6A2,DCHS1,EIF3F,JRKL,CTSF,EED,FADD,BANF1,MTMR2,RPS6KA4,BRSK2,AIP,SART1,USP2,FIBP,HTR3B,ZW10,MTA2,UBE2L6,MMP20,UBE4A,SLC22A6,SLC22A8,NRXN2,LPXN,PEX16,FADS2,MAPK8IP1,TP53I11,EI24,PITPNM1,RIN1,MTL5,FEZ1,MICAL2,CTR9,CEP57,ARHGAP32,ATG13,SPCS2,CKAP5,ARHGEF17,GAB2,TRIM66,FCHSD2,FGF19,CCS,RCE1,NAALAD2,NAALADL1,KCNE3,NR1H3,IL18BP,DPP3,TSPAN32,TSSC4,USH1C,KCNK7,HIPK3,RBM7,PRMT3,MPZL2,RASGRP2,GLYAT,CDK2AP2,TCIRG1,RTN3,MRVI1,TRIM22,PRG3,IFITM3,YAP1,CDC42EP2,NXF1,DEAF1,KAT5,HYOU1,IPO7,SSSCA1,HTATIP2,IFITM2,DRAP1,TRIM3,TAF6L,ATP5L,SCGB1D2,SCGB1D1,CELF1,POLD3,OR5I1,STARD10,ME3,GPR83,YIF1A,EHD1,STIP1,CLP1,SF3B2,CCDC85B,B3GNT1,ADAMTS8,PRSS23,PLA2G16,TREH,PKP3,HPS5,PTGDR2,SLCO2B1,RRAS2,CEP164,ZP1,SHANK2,KDM2A,IGSF9B,ENDOD1,SWAP70,EXPH5,ATG2A,PHLDB1,GANAB,FAM168A,DTX4,DENND5A,NUP160,NCAPD3,FNBP4,ARHGEF12,SIK3,SIRT3,CLCF1,OR52A1,VSIG2,BACE1,FAM89B,ARFIP2,TRIM29,RAB38,CADM1,FLRT1,MTCH2,PANX1,FJX1,KIAA1549L,PRDX5,POU2F3,ABTB2,BRMS1,CHRDL2,PAMR1,ANAPC15,ZDHHC5,ATL3,TSKU,REXO2,C2CD3,DAK,TENM4,B3GAT3,FBXO3,SERGEF,OR5L2,PPP1R14B,OR8B8,OR10A3,TIMM10B,TIMM10,TIMM8B,MYEOV,BSCL2,OR8B2,ELP4,ACAD8,B3GAT1,DKK3,RBMXL2,RAB30,PGAP2,PRPF19,DCPS,C11orf54,AAMDC,MACROD1,SLC43A3,ZBTB44,THYN1,DDX25,PACSIN3,TRPM5,SAC3D1,SNX15,RHOD,EFEMP2,NOX4,UBQLN3,KCNK4,RNF141,NTM,CDON,UBXN1,APIP,TMX2,GAL,SIDT2,SUV420H1,HSD17B12,TMEM216,BET1L,CEND1,COA4,SLC15A3,MS4A4A,TRAPPC4,PPME1,CABP2,C11orf73,CWC15,TRMT112,TMEM138,CYB5R2,RSF1,SPA17,FXYD6,C11orf24,CDHR5,CNTN5,SIAE,TOLLIP,C11orf71,ZDHHC13,ROBO4,WDR74,SLC35F2,RAB39A,BTG4,NXPE4,SYTL2,ANKRD49,MS4A12,MRPL16,SSH3,TTC12,TMEM132A,HRASLS2,LAMTOR1,USP47,VPS37C,ANO1,TRIM68,NADSYN1,FAM86C1,C11orf57,NAT10,CCDC87,PPP6R3,UEVLD,RNF121,LIN7C,SLC35C1,TCP11L1,LGR4,PIDD,ELMOD1,KCNQ1DN,SOX6,CDC42BPG,FOXRED1,AMBRA1,PACS1,KDM4D,KBTBD4,TTC17,SCN3B,VPS11,TMEM126B,SLC22A11,TEX12,CRTAM,MMP26,AKIP1,C11orf16,TMEM9B,NRIP3,ASCL3,GPR137,IFT46,SMCO4,C11orf30,PRDM10,PRDM11,CABP4,CHRNA10,SLC17A6,TRIM49,PNPLA2,CD248,CORO1B,SCYL1,DSCAML1,GRAMD1B,USP35,KIAA1377,ARHGAP20,CARNS1,SYT13,USP28,PHRF1,LRRC4C,SCUBE2,PLEKHB1,MS4A7,ZBED5,CREBZF,CARD18,SIGIRR,CCDC90B,CCDC81,AASDHPPT,ALX4,RIC8A,MRPL17,PKNOX2,FAM111A,TP53AIP1,ANO3,MMP27,ABCG4,ROBO3,MS4A6A,MS4A5,C11orf1,EPS8L2,KLC2,TUT1,MRPL11,STK33,KCTD14,CHID1,LRFN4,AHNAK,ALG8,PRRG4,TMEM109,CCDC86,C11orf48,C11orf49,TRIM48,TAF1D,RNF26,OR51G1,OR51B4,OR51B2,OR52N1,FAM118B,RIC3,DYNC2H1,NLRX1,MSANTD2,C11orf80,NARS2,E2F8,SLC25A22,CCDC82,ZNF408,CLMP,NAA40,QSER1,AGBL2,ZBTB3,PDZD3,C11orf63,CPSF7,PRR5L,CCDC15,ASRGL1,ATHL1,TMEM134,MUS81,PAAF1,PDGFD,INTS5,ZFP91,TMPRSS5,OR8J3,OR51G2,OR51E2,OR4P4,OR4C15,OR4A5,OR4A16,OR4A15,OR10W1,PTDSS2,GDPD5,CLPB,UNC93B1,SBF2,RAB1B,KIF18A,PUS3,MFRP,C11orf68,MS4A8,JAM3,FERMT3,TRPT1,RBM4B,FRMD8,BCO2,TMEM133,TMPRSS13,FAM160A2,RNASEH2C,FAR1,TMEM126A,DCUN1D5,BTBD10,EIF1AD,NUDT22,ARFGAP2,MSANTD4,SYVN1,KIRREL3,DGAT2,ACCS,MS4A14,TRIM51,BUD13,TMEM25,PTPN5,RPUSD4,MICALCL,RELT,UBASH3B,C11orf70,LGALS12,TRIM5,TNKS1BP1,DIXDC1,KIAA1731,ZC3H12C,NAV2,ATG16L2,GLB1L2,SYT8,TSPAN18,ESAM,CREB3L1,CCDC34,SLC39A13,DEPDC7,ACY3,ALKBH8,FDXACB1,C11orf52,INTS4,GLYATL1,PRKCDBP,VPS26B,GLB1L3,CDCA5,SAAL1,SLC22A9,TIRAP,CARD16,OSBPL5,C1QTNF4,C1QTNF5,TMEM123,LRRC56,BATF2,SLC22A12,PANX3,MRGPRD,APOA5,MRGPRE,MRGPRF,ART5,ARAP1,CATSPER1,MRGPRX2,MRGPRX3,MRGPRX4,HRASLS5,TRIM6,OR52E2,OR52J3,OR51L1,OR51A7,OR51S1,OR51F2,OR52R1,C11orf74,OR4C46,OR4X2,OR4B1,OR52M1,OR52K2,OR5P2,OR5P3,GYLTL1B,FAT3,TMEM45B,CYP2R1,DBX1,C11orf93,PIH1D2,NXPE1,NXPE2,AMICA1,OR8I2,OR2D3,OR2D2,OR52W1,OR56A4,OR56A1,SYT9,LDLRAD3,OR52B4,C11orf40,OR52I2,OR51E1,XRRA1,UBQLNL,MUC15,C11orf94,FAM76B,SESN3,PIWIL4,ARHGAP42,KBTBD3,CWF19L2,KDELC2,LAYN,C11orf84,PLEKHA7,SPTY2D1,TMEM86A,OR10A5,OR2AG1,DNHD1,SCGB1C1,AMOTL1,SLC5A12,CCDC67,PATE1,C11orf65,LDHAL6A,C11orf42,GPHA2,ADAMTS15,NLRP6,B3GNT6,METTL15,IMMP1L,OR56B4,ANO5,OR8U1,OR4C16,OR4C11,OR4S2,OR4C6,OR5D14,OR5L1,OR5D18,OR5AS1,OR8K5,OR5T2,OR8H1,OR8K3,OR8J1,OR5R1,OR5M3,OR5M8,OR5M11,OR5AR1,LRRC55,SMTNL1,YPEL4,MED19,C11orf45,HYLS1,TMEM218,OR8B12,OR10G8,OR10G9,OR10S1,OR6T1,OR4D5,TMEM136,MRPL21,SPATA19,OR6Q1,OR9I1,OR9Q1,OR9Q2,OR1S2,OR1S1,OR10Q1,OR5B17,OR5B21,GLYATL2,MPEG1,OR5A2,OR5A1,OR4D6,OR4D11,PATL1,PLAC1L,MS4A15,VWCE,CYB561A3,PPP1R32,GDPD4,C11orf82,CCDC83,ORAOV1,LRTOMT,HEPACAM,TIGD3,FAM181B,CCDC89,LRRN4CL,HNRNPUL2,ALKBH3,MS4A6E,DEFB108B,PELI3,ANGPTL5,EHBP1L1,SNX32,TSGA10IP,RNF169,CNIH2,C11orf86,NUDT8,ANKK1,OR52B2,OR4C3,OR4S1,C11orf35,EML3,TMEM151A,OR51F1,RNF214,MRGPRX1,NPAS4,AQP11,OR10AG1,OR5J2,OR4C13,OR4C12,CSNK2A3,OR51V1,C11orf85,SLC25A45,FOXR1,CCDC153,OR8D1,OR8D2,OR8B4,C11orf44,OR9G4,LINC00301,P4HA3,PGM2L1,KLHL35,KCTD21,EFCAB4A,CCDC88B,TTC9C,SLC22A24,RCOR2,IGSF22,OR10A4,OLFML1,NLRP10,NLRP14,ANO9,LUZP2,CCDC84,TMEM225,OR8D4,OR5F1,OR5AP2,ANKRD13D,ANKRD42,B4GALNT4,OR52L1,OR2AG2,OR52B6,OTOG,DCDC1,C11orf53,MS4A10,OR2AT4,HEPHL1,OR10A2,OVCH2,TBX10,PDDC1,GALNT18,NCR3LG1,FAM111B,TMEM179B,TBC1D10C,DNAJB13,MRGPRG,SLC22A25,IFITM5,FAM99A,OR56B1,INSC,FIBIN,SPDYC,LIPT2,OR52K1,OR52I1,OR51D1,OR52A5,OR51B6,OR51M1,OR51Q1,OR51I1,OR51I2,OR52D1,OR52H1,OR52N4,OR52N5,OR52N2,OR52E6,OR52E8,OR52E4,OR56A3,OR10A6,ACCSL,OR4X1,OR5D13,OR5D16,OR5W2,OR8H2,OR8H3,OR5T3,OR5T1,OR8K1,OR5M9,OR5M10,OR5M1,OR9G1,OR5AK2,OR5B2,OR5B12,OR5AN1,OR4D10,OR4D9,OR10V1,LRRC10B,GPR152,FOLR4,KDM4E,BSX,OR6X1,OR6M1,OR10G4,OR10G7,OR8B3,OR8A1,LINC00610,FAM180B,PCNXL3,C11orf87,C11orf92,C11orf88,PATE2,PATE4,SNX19,OR51T1,OR51A4,OR51A2,IFITM10,OR4A47,SCGB1D4,MIRLET7A2,MIR100,MIR125B1,MIR130A,MIR192,MIR210,MIR34B,MIR34C,DDI1,BLID,TMEM41B,CARD17,OR5B3,CCDC73,MS4A13,HEPN1,TRIM49C,CLDN25,TRIM64C,MIR610,NEAT1,MUC5B,MIR708,PATE3,MIR1261,MIR1304,MIR302E,MIR670,MIR4300,MIR4301,MIR3165,MIR1260B,MIR3159,MIR4298,MIR4299,MIR3163,MIR3166,MTRNR2L8,CCDC179,CASP12,TPBGL,RBM4,MIR4697,MIR4686,MIR4490,MIR548AL,MIR4487,MIR4493,MIR4491,MIR4492,MIR4692,MIR4694,MIR4687,MIR4693,MIR4488,MIR5579,	1	CD44,	[Not Available]	[Not Available]	[Not Available]	1	11p13	0.018342
20	11	34223378	35548231	34490647	34562247	33150067	35671707	20	MIR1343,EHF,CD59,C11orf91,CAT,CD44,CSTF3,ELF5,LMO2,CAPRIN1,SLC1A2,PDHX,HIPK3,FJX1,KIAA1549L,ABTB2,PAMR1,FBXO3,APIP,NAT10,	2	CAT,ELF5,	[Not Available]	[Not Available]	[Not Available]	1	11p13	0.029592
21	12	24424070	29620649	25404604	25547340	24885717	25593416	7	BCAT1,KRAS,LRMP,CASC1,LYRM5,IFLTD1,C12orf77,	1	KRAS,	[Not Available]	[Not Available]	[Not Available]	1	12p12.1	7.5822e-11
22	12	65653134	72195044	69686183	69716702	69501156	70206152	9	RN7SL804P,LYZ,YEATS4,CCT2,FRS2,CPSF6,RAB3IP,BEST3,LRRC10,	0	[CPSF6]	[Not Available]	[Not Available]	[Not Available]	1	12q15	1.8454e-06
23	13	73880680	74043889	73883618	73908846	73639692	74084943	3	LINC00393,RNY1P8,KLF5,	0	[LINC00393]	[Not Available]	[Not Available]	[Not Available]	1	13q22.1	0.12017
24	14	37614257	38051911	37858832	37858874	35402000	39056522	29	LINC00517,SNORA42|ENSG00000200385.1,TTC6,MIR4503,SLC25A21,RN7SKP257,DPPA3P2,RN7SKP21,PTCSC3,snoU13|ENSG00000238718.1,SNORA31|ENSG00000253059.1,KIAA0391,FOXA1,NFKBIA,PAX9,PSMA6,SRP54,SSTR1,KIAA0391,MBIP,PPP2R3C,BRMS1L,INSM2,MIPOL1,CLEC14A,RALGAPA1,SFTA3,FAM177A1,LINC00609,	1	MIPOL1,	[Not Available]	[Not Available]	[Not Available]	1	14q21.1	0.15689
25	15	90663359	91064910	90830477	90839910	89831104	101884307	102	DDX11L9,WASH3P,FAM138E,OR4F13P,RN7SL209P,DNM1P47,snoU13|ENSG00000238502.1,LINS,RNA5SP402,RN7SL484P,DKFZP779J2370,MIR4714,RNA5SP401,RN7SL677P,RN7SKP181,RN7SKP254,MIR1469,LINC00924,MIR3175,RN7SL599P,LINC00930,snoU109|ENSG00000239197.1,snoU13|ENSG00000238981.1,RN7SL363P,SNORD18|ENSG00000200677.1,ZNF774,GABARAPL3,RN7SL736P,CIB1,RN7SL346P,RN7SL755P,C15orf38,MIR5009,MIR5094,MESP1,LINC00928,LINC00925,ALDH1A3,ANPEP,BLM,CHD2,FES,IDH2,IGF1R,MAN2A2,MEF2A,FURIN,PCSK6,PLIN1,POLG,SNRPA1,NR2F2,ST8SIA2,PEX11A,IQGAP1,PRC1,SV2B,AP3S2,SEMA4B,CHSY1,SYNM,VPS33B,OR4F4,SLCO3A1,NGRN,RHCG,FANCI,MCTP2,VIMP,UNC45A,RGMA,WDR93,CRTC3,TTC23,LRRK1,TM2D3,TICRR,RCCD1,ARRDC4,LINC00923,TARSL2,LRRC28,ASB7,LYSMD4,PGPEP1L,C15orf32,MESP2,SPATA8,ADAMTS17,DNM1P46,CERS3,FAM169B,KIF7,ZNF710,HDDC3,SPATA41,GDPGP1,OR4F6,OR4F15,FAM174B,TTLL13,MIR3174,	4	ZNF774,GABARAPL3,RN7SL736P,IQGAP1,	[Not Available]	[Not Available]	[Not Available]	1	15q26.1	0.10665
26	17	36706781	40144658	37855834	37923373	37745979	37929559	11	IKZF3,MIR4728,PNMT,TCAP,NEUROD2,ERBB2,GRB7,STARD3,PPP1R1B,MIEN1,PGAP3,	5	IKZF3,MIR4728,ERBB2,GRB7,MIEN1,	[Not Available]	[Not Available]	[Not Available]	1	17q12	1.7302e-22
27	18	19098894	22460040	19633744	19638310	19614326	19641474	0	[RNU6ATAC20P]	0	[RNU6ATAC20P]	[Not Available]	[Not Available]	[Not Available]	1	18q11.2	5.2675e-08
28	18	329586	2211483	1374348	1477014	985108	2079801	2	RN7SKP72,LINC00470,	1	LINC00470,	[Not Available]	[Not Available]	[Not Available]	1	18p11.32	0.01372
29	19	29282209	31500379	30307115	30315270	30259436	30348146	1	CCNE1,	1	CCNE1,	[Not Available]	[Not Available]	[Not Available]	1	19q12	1.2339e-07
30	X	152976862	153239720	153055546	153180254	152740907	153624197	38	TEX28P1,OPN1MW,TEX28P2,NAA10,LCA10,SNORD36|ENSG00000251846.1,RN7SL687P,ABCD1,ARHGAP4,ATP2B3,AVPR2,BGN,TEX28,DUSP9,EMD,FLNA,HCFC1,IDH3G,IRAK1,L1CAM,MECP2,PLXNB3,OPN1LW,RENBP,RPL10,SLC6A8,SSR4,TMEM187,TKTL1,BCAP31,TREX2,SRPK3,HAUS7,PDZD4,FAM58A,PNCK,OPN1MW2,MIR718,	8	LCA10,SNORD36|ENSG00000251846.1,ARHGAP4,AVPR2,IDH3G,L1CAM,SSR4,PDZD4,	[Not Available]	[Not Available]	[Not Available]	1	Xq28	0.18371
